pyruvate:ferredoxin oxidoreductase	acetyl-CoA, carbon dioxide	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
pyruvate:ferredoxin oxidoreductase	acetyl-CoA, carbon dioxide	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
pyruvate:ferredoxin oxidoreductase	acetyl-CoA, carbon dioxide	K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
pyruvate:ferredoxin oxidoreductase	acetyl-CoA, carbon dioxide	K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
pyruvate:ferredoxin oxidoreductase	acetyl-CoA, carbon dioxide	K03737	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
pyruvate formate-lyase	acetyl-CoA, formate	K00656	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]
acetyl-CoA hydrolase	acetate	K01067	E3.1.2.1, ACH1; acetyl-CoA hydrolase [EC:3.1.2.1]
acetate kinase	acetate	K00925	ackA; acetate kinase [EC:2.7.2.1]
acetoacetate decarboxylase	acetone, carbon dioxide	K01574	adc; acetoacetate decarboxylase [EC:4.1.1.4]
alcohol dehydrogenase	ethanol	K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
alcohol dehydrogenase	ethanol	K04022	eutG; alcohol dehydrogenase
alcohol dehydrogenase	ethanol	K13951	ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]
alcohol dehydrogenase	ethanol	K13952	ADH6; alcohol dehydrogenase 6 [EC:1.1.1.1]
alcohol dehydrogenase	ethanol	K13954	yiaY; alcohol dehydrogenase [EC:1.1.1.1]
alcohol dehydrogenase	ethanol	K13980	ADH4; alcohol dehydrogenase 4 [EC:1.1.1.1]
alcohol dehydrogenase	ethanol	K18857	ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]
alcohol dehydrogenase	ethanol	K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
alcohol dehydrogenase	ethanol	K13979	yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
alcohol dehydrogenase	ethanol	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
formate dehydrogenase	carbon dioxide	K00122	FDH; formate dehydrogenase [EC:1.17.1.9]
formate dehydrogenase	carbon dioxide	K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
formate dehydrogenase	carbon dioxide	K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
formate dehydrogenase	carbon dioxide	K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
formate dehydrogenase	carbon dioxide	K00127	fdoI, fdsG; formate dehydrogenase subunit gamma
formate dehydrogenase	carbon dioxide	K22515	fdwB; formate dehydrogenase beta subunit [EC:1.17.1.9]
formate dehydrogenase	carbon dioxide	K05299	fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]
formate dehydrogenase	carbon dioxide	K15022	fdhB; formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]
formate dehydrogenase	carbon dioxide	K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
formate dehydrogenase	carbon dioxide	K22516	fdhA; formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]
lactate dehydrogenase	lactate	K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
acetolactate decarboxylase	acetoin, carbon dioxide	K01575	alsD, budA, aldC; acetolactate decarboxylase [EC:4.1.1.5]
methylmalonyl-CoA decarboxylase	propionyl-CoA, carbon dioxide	K11264	scpB, mmcD; methylmalonyl-CoA decarboxylase [EC:4.1.1.-]
methylmalonyl-CoA decarboxylase	propionyl-CoA, carbon dioxide	K01604	mmdA; methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]
lactoyl-CoA dehydratase	acryloyl-CoA	K20626	lcdA; lactoyl-CoA dehydratase subunit alpha [EC:4.2.1.54]
lactoyl-CoA dehydratase	acryloyl-CoA	K20627	lcdB; lactoyl-CoA dehydratase subunit beta [EC:4.2.1.54]
propionaldehyde dehydrogenase	propionyl-CoA	K13922	pduP; propionaldehyde dehydrogenase [EC:1.2.1.87]
butyrate kinase	butyrate	K00929	buk; butyrate kinase [EC:2.7.2.7]
butyryl-CoA:acetate CoA transferase	butyrate, acetyl-CoA	K01034	atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
butyryl-CoA:acetate CoA transferase	butyrate, acetyl-CoA	K01035	atoA; acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
